DEBUG market 2014-08-29 16:51:34 ./market/recommend.py recommend 386  新增banner:f60f28c3
DEBUG market 2014-08-29 17:03:33 ./market/recommend.py recommend 100  新增推荐列表的游戏:7b2e89f3
DEBUG market 2014-08-29 17:04:04 ./market/recommend.py recommend 100  新增推荐列表的游戏:42b4f4e5
DEBUG market 2014-08-29 17:04:19 ./market/recommend.py recommend 100  新增推荐列表的游戏:d13e61ef
DEBUG market 2014-08-29 17:04:28 ./market/recommend.py recommend 100  新增推荐列表的游戏:f83ddd5e
DEBUG market 2014-08-29 17:05:59 ./market/recommend.py recommend 100  新增推荐列表的游戏:535391d8
DEBUG market 2014-08-29 17:06:09 ./market/recommend.py recommend 100  新增推荐列表的游戏:b858a1cc
DEBUG market 2014-08-29 17:06:30 ./market/recommend.py recommend 100  新增推荐列表的游戏:7983caf9
DEBUG market 2014-08-29 17:06:48 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 17:07:08 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 17:32:03 ./market/topic.py topic 171  新增专题:58
DEBUG market 2014-08-29 17:32:11 ./market/topic.py topic 394  新增专题58的游戏列表:e9a4e847
DEBUG market 2014-08-29 17:32:20 ./market/topic.py topic 394  新增专题58的游戏列表:535391d8
DEBUG market 2014-08-29 17:32:29 ./market/topic.py topic 394  新增专题58的游戏列表:b858a1cc
DEBUG market 2014-08-29 17:32:36 ./market/topic.py topic 394  新增专题58的游戏列表:65e4737b
DEBUG market 2014-08-29 17:32:40 ./market/topic.py topic 394  新增专题58的游戏列表:7a805301
DEBUG market 2014-08-29 17:33:20 ./market/topic.py topic 171  新增专题:59
DEBUG market 2014-08-29 17:33:26 ./market/topic.py topic 394  新增专题59的游戏列表:7cd1097e
DEBUG market 2014-08-29 17:33:31 ./market/topic.py topic 394  新增专题59的游戏列表:91eb6906
DEBUG market 2014-08-29 17:33:37 ./market/topic.py topic 394  新增专题59的游戏列表:1b9f928a
DEBUG market 2014-08-29 17:37:29 ./market/topic.py topic 394  新增专题59的游戏列表:42b4f4e5
DEBUG market 2014-08-29 17:37:39 ./market/topic.py topic 394  新增专题59的游戏列表:ba4a0fd1
DEBUG market 2014-08-29 17:37:57 ./market/topic.py topic 378  新增专题59的游戏列表:b2fab099
DEBUG market 2014-08-29 17:38:09 ./market/topic.py topic 394  新增专题59的游戏列表:bc47a44d
DEBUG market 2014-08-29 17:38:16 ./market/topic.py topic 394  新增专题59的游戏列表:0aead988
DEBUG market 2014-08-29 17:39:10 ./market/topic.py topic 171  新增专题:60
DEBUG market 2014-08-29 17:39:16 ./market/topic.py topic 394  新增专题60的游戏列表:1410ff8e
DEBUG market 2014-08-29 17:39:21 ./market/topic.py topic 394  新增专题60的游戏列表:5c362b68
DEBUG market 2014-08-29 17:39:26 ./market/topic.py topic 394  新增专题60的游戏列表:ee895156
DEBUG market 2014-08-29 17:39:32 ./market/topic.py topic 394  新增专题60的游戏列表:b7a93a60
DEBUG market 2014-08-29 17:39:37 ./market/topic.py topic 394  新增专题60的游戏列表:fc82d935
DEBUG market 2014-08-29 17:39:42 ./market/topic.py topic 394  新增专题60的游戏列表:0d179ec4
DEBUG market 2014-08-29 18:03:24 ./market/recommend.py recommend 386  新增banner:91eb6906
DEBUG market 2014-08-29 18:03:43 ./market/recommend.py recommend 547  删除banner:15
DEBUG market 2014-08-29 18:03:47 ./market/recommend.py recommend 547  删除banner:13
DEBUG market 2014-08-29 18:03:57 ./market/recommend.py recommend 547  删除banner:16
DEBUG market 2014-08-29 18:04:15 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:17:34 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:42:31 ./game/views.py views 255  修改d13e61ef的信息
DEBUG market 2014-08-29 18:43:47 ./game/views.py views 255  修改81f200fd的信息
DEBUG market 2014-08-29 18:43:52 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:44:06 ./game/views.py views 255  修改81f200fd的信息
DEBUG market 2014-08-29 18:44:17 ./game/views.py views 255  修改91eb6906的信息
DEBUG market 2014-08-29 18:44:21 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:44:36 ./game/views.py views 255  修改1b9f928a的信息
DEBUG market 2014-08-29 18:44:37 ./game/views.py views 255  修改91eb6906的信息
DEBUG market 2014-08-29 18:44:39 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:44:56 ./game/views.py views 255  修改e9cef25c的信息
DEBUG market 2014-08-29 18:45:00 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:45:16 ./game/views.py views 255  修改42b4f4e5的信息
DEBUG market 2014-08-29 18:45:19 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:45:38 ./game/views.py views 255  修改04969b13的信息
DEBUG market 2014-08-29 18:45:41 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:46:01 ./game/views.py views 255  修改bc47a44d的信息
DEBUG market 2014-08-29 18:46:04 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:46:29 ./game/views.py views 255  修改7b2e89f3的信息
DEBUG market 2014-08-29 18:46:31 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:46:53 ./game/views.py views 255  修改7a7bd43c的信息
DEBUG market 2014-08-29 18:46:56 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:47:47 ./game/views.py views 255  修改532897f4的信息
DEBUG market 2014-08-29 18:47:51 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:48:27 ./game/views.py views 255  修改d13e61ef的信息
DEBUG market 2014-08-29 18:48:30 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 18:51:40 ./market/recommend.py recommend 414  新增banner:f4f43dd6
DEBUG market 2014-08-29 18:51:50 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:23:01 ./market/topic.py topic 57  同步数据
DEBUG market 2014-08-29 19:30:11 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:30:44 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:31:31 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:32:37 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:34:24 ./market/recommend.py recommend 547  删除banner:20
DEBUG market 2014-08-29 19:35:37 ./market/recommend.py recommend 414  新增banner:f4f43dd6
DEBUG market 2014-08-29 19:37:06 ./market/recommend.py recommend 547  删除banner:21
DEBUG market 2014-08-29 19:37:27 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:39:19 ./market/recommend.py recommend 414  新增banner:f4f43dd6
DEBUG market 2014-08-29 19:39:26 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:41:26 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 19:43:10 ./market/topic.py topic 44  发布数据
DEBUG market 2014-08-29 20:05:03 ./market/recommend.py recommend 124  删除推荐列表的游戏:a66a188a
DEBUG market 2014-09-01 10:35:02 ./game/views.py views 255  修改278e4ea9的信息
DEBUG market 2014-09-01 10:35:07 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:35:52 ./game/views.py views 255  修改91373326的信息
DEBUG market 2014-09-01 10:35:57 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:36:35 ./game/views.py views 255  修改7719cbe2的信息
DEBUG market 2014-09-01 10:36:38 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:37:11 ./game/views.py views 255  修改b68543b3的信息
DEBUG market 2014-09-01 10:37:14 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:38:12 ./game/views.py views 255  修改5ef265bd的信息
DEBUG market 2014-09-01 10:38:15 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:38:48 ./game/views.py views 255  修改b2fab099的信息
DEBUG market 2014-09-01 10:38:51 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:43:01 ./game/views.py views 255  修改b49ce4a1的信息
DEBUG market 2014-09-01 10:43:05 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:50:57 ./game/views.py views 255  修改0aead988的信息
DEBUG market 2014-09-01 10:51:00 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:53:43 ./game/views.py views 255  修改b0d015fa的信息
DEBUG market 2014-09-01 10:53:46 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:54:38 ./game/views.py views 255  修改db263bf6的信息
DEBUG market 2014-09-01 10:54:41 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:56:21 ./game/views.py views 255  修改ba4a0fd1的信息
DEBUG market 2014-09-01 10:56:24 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:58:00 ./game/views.py views 255  修改f4ada557的信息
DEBUG market 2014-09-01 10:58:03 ./market/topic.py topic 44  发布数据
DEBUG market 2014-09-01 10:59:16 ./game/views.py views 255  修改81f200fd的信息
DEBUG market 2014-09-01 10:59:20 ./market/topic.py topic 44  发布数据
