9842,青海,贵南,
9843,青海,兴海,
9840,青海,茫崖,
9841,青海,贵德,
9846,青海,祁连,
9847,青海,刚察,
9844,青海,同德,
9848,青海,大柴旦,
9849,青海,冷湖,
8247,四川,盐源,
10,北京,北京,北京/通县/昌平/大兴/密云/延庆/顺义/怀柔/平谷
834,四川,西昌,
837,四川,马尔康,
836,四川,康定,
831,四川,宜宾,宜宾/南溪/屏山/兴文/长宁/珙县/高县/筠连/江安
830,四川,邻水,邻水/泸州/合江/纳溪/叙永/古蔺
833,四川,乐山,乐山/峨边/眉山/峨眉山/仁寿/井研/洪雅/沐川/彭山/青神/丹梭/马边/犍为/夹江/金口河
832,四川,内江,内江/资中/资阳/简阳/威远/隆昌/乐至
839,四川,广元,广元/剑阁/旺苍/青川/苍溪
838,四川,德阳,德阳/广汉/什邡/绵竹/中江
546,山东,东营,东营/利津/广饶/垦利
938,甘肃,天水,天水/甘谷/武山/秦安/张家川/清水
939,甘肃,武都,
8649,贵州,龙里,
429,辽宁,葫芦岛,葫芦岛/绥中/建昌/兴城
934,甘肃,西峰,
8646,贵州,平塘,
936,甘肃,张掖,张掖/山丹/高台/民乐/临泽/萧南
937,甘肃,酒泉,酒泉/玉门/安西/敦煌/金塔/阿克塞/嘉峪关/肃北
930,甘肃,临夏市,
931,甘肃,兰州,兰州/红古区/皋兰/榆中/永登
932,甘肃,定西,
933,甘肃,静宁,静宁/泾川/灵台/崇信
996,新疆,库尔勒,库尔勒/焉耆/博湖/轮台/和静/和硕/若羌/尉犁/且末
8241,四川,宁南,
8018,西藏,仁布,
8016,西藏,曲水,
538,山东,泰安,泰安/新泰/宁阳/东平/肥城
8015,西藏,堆龙德庆,
8635,贵州,普定,
835,四川,雅安,
722,湖北,随枣,随枣/随州
378,河南,开封,开封/开封县/兰考/杞县/通许/尉氏
727,湖北,荆门,
728,湖北,仙桃,仙桃/天门/潜江
472,内蒙古,包头,包头/固阳/土默特右旗/白云鄂博/达茂旗
335,河北,秦皇岛,秦皇岛/昌黎/卢龙/抚宁/青龙
479,内蒙古,锡林浩特,锡林浩特/二连浩特/多伦/太仆寺旗/苏尼特左旗/苏尼特右旗/镶黄旗/东乌珠穆沁旗/西乌珠穆沁旗/阿马嗄旗/正镶白旗/正蓝旗
478,内蒙古,临河,临河/五原/磴口/乌拉特前镇/乌拉特中镇/乌拉特后镇/杭锦后旗
754,广东,汕头,汕头/澄海/南澳
755,广东,深圳,深圳/宝安
756,广东,珠海,珠海/斗门
757,广东,佛山,佛山/南海/高明/三水
750,广东,江门,江门/台山/开平/恩平/新会/鹤山
751,广东,韶关,韶关/曲江/翁源/新丰/始兴/仁化/南雄/乳源/乐昌
752,广东,惠州,惠州/惠东/惠阳/博罗/龙门
753,广东,梅州,梅州/梅县/蕉岭/大埔/丰顺/五华/兴宁/平远
758,广东,肇庆,肇庆/高要/四会/怀集/封开/德庆/广宁
759,广东,湛江,湛江/遂溪/廉江/吴川/徐闻/雷州
9402,甘肃,永靖,
9403,甘肃,和政,
900,台湾,北埔,
9401,甘肃,临夏县,
9406,甘肃,广河,
9407,甘肃,积石山,
9404,甘肃,东乡,
9405,甘肃,康乐,
908,台湾,车城,
909,台湾,城中区,
451,黑龙江,哈尔滨,哈尔滨/阿城/通河/方正/尚志/延寿/双成/肇东/宾县/木兰/五常/巴彦/呼兰
935,甘肃,金昌,金昌/民勤/天祝/古浪/金川/永昌
8645,贵州,独山,
8644,贵州,荔波,
8643,贵州,三都,
8642,贵州,瓮安,
970,青海,海晏,
971,青海,西宁,西宁/大通
972,青海,乐都,乐都/湟中/互助/湟源/民和/循化/化隆
973,青海,同仁,
974,青海,共和,
8641,贵州,福泉,
976,青海,玉树,
977,青海,德令哈,
978,青海,门源,
979,青海,格尔木,
873,云南,个旧,个旧/石屏/弥勒/红河/开远/蒙自/建水/河口/泸西/金平/绿春/元阳/屏边
8640,贵州,贵定,
875,云南,保山,保山/腾冲/昌宁/龙陵/施甸
874,云南,曲靖,曲靖/寻甸/马龙/会泽/师宗/陆良/富源/宣威/罗平
877,云南,玉溪,玉溪/华宁/江川/新平/元江/通海/易门/澄江/峨山
876,云南,文山,文山/砚山/丘北/广南/马关/富宁/西畴/麻栗坡
852,香港,香港,
853,澳门,澳门,
9240,陕西,清涧,
9242,陕西,柞水,
9243,陕西,镇安,
9244,陕西,山阳,
8295,四川,酉阳,
8296,四川,秀山,
8298,四川,彭水,
482,内蒙古,乌兰浩特,乌兰浩特/扎赉特旗/突泉/科右中旗
9839,青海,龙羊峡,
9838,青海,曲麻莱,
9833,青海,天峻,
9832,青海,都兰,
9831,青海,乌兰,
9837,青海,杂多,
9836,青海,囊谦,
9835,青海,称多,
9834,青海,治多,
475,内蒙古,通辽,通辽/开鲁/库伦旗/奈曼旗/扎鲁特旗/科尔沁左翼中旗/科尔沁左翼后旗/霍林郭勒
474,内蒙古,集宁,集宁/四子王旗/化德/丰镇/卓资/商都/兴和/凉城/察哈尔右翼前旗/察哈尔右翼中旗/察哈尔右翼后旗
477,内蒙古,东胜,东胜/达拉特旗/伊金霍洛旗/准格尔旗/杭棉旗/乌审/鄂托克旗/鄂托克前旗
476,内蒙古,赤峰,赤峰/阿鲁科尔沁/宁城/敖汉旗/翁牛特旗/巴林左旗/巴林右旗/林西/克什克腾旗/喀喇沁旗
471,内蒙古,呼和浩特,呼和浩特/托克托/土默特左旗/和林格尔/武川/清水河
470,内蒙古,海拉尔,海拉尔/鄂温克/阿荣旗/牙克石/扎兰屯/鄂伦春/陈巴尔虎旗/新巴尔虎左旗/新巴尔虎右旗/根河/额尔古纳右旗/莫力达瓦旗/满洲里
473,内蒙古,乌海,
379,河南,洛阳,洛阳/洛宁/孟津/偃师/伊川/宜阳/新安/汝阳/嵩县/栾川
376,河南,信阳,信阳/信阳县/罗山
377,河南,卧龙,卧龙/宛城/邓州/西峡/浙川/方城/社旗/唐河/新野/镇平/南召/桐柏/内乡
374,河南,许昌,许昌/长葛/鄢陵/禹州
375,河南,平顶山,平顶山/舞钢/郏县/襄城/叶县/鲁山/宝丰/汝州
372,河南,安阳,安阳/安阳县/汤阴/林州/内黄/滑县
373,河南,新乡,新乡/卫辉/延津/原阳/获嘉/长垣/封丘/辉县
370,河南,商丘,商丘/商丘县/虞城/夏邑/永城/柘城/宁陵/睢县/民权
371,河南,郑州,郑州/上街/荥阳/新郑/中牟/新密/登封/巩义
578,浙江,丽水,丽水/缙云/青田/云和/庆元/龙泉/遂昌/松阳/景宁
579,浙江,金华,金华/金华县/义乌/东阳/浦江/永康/武义/兰溪/磐安
574,浙江,宁波,宁波/镇海/余姚/慈溪/鄞县/奉化/宁海/象山
